en,ar,section
"– HAMAPHARMA/LEAF/ABESTOL (Tablets)Nadolol 20 ,40 ,80 mg  (Size: 230 x 160 mm)",أقراص,dosage_form
INDICATIONS,الاستطبابات,header
DOSAGE AND ADMINISTRATION,الجرعة وطريقة الاستعمال,header
DRUG INTERACTIONS,التداخلات الدوائية,header
WARNINGS,التحذيرات,header
PRECAUTIONS,الاحتياطات,header
"Packaging: 2 blisters, each contains 10 tablets/carton box.",أقراص,dosage_form
ABESTOL   (Tablets),أقراص,dosage_form
"– HAMAPHARMA/LEAF/ABESTOL (Tablets)Nadolol 20 ,40 ,80 mg  (Size: 230 x 160 mm)",أقراص,dosage_form
