en,ar,section
PHARMACOKINETICS,الحرائك الدوائية,header
CONTRAINDICATIONS,مضادات الاستطبابات,header
DRUG INTERACTIONS,التداخلات الدوائية,header
"Adults and adolescents from 12 years of age: 1 - 2 capsules, Up to 3 times",كبسولات,dosage_form
The maximum dose per day of 6 capsules must not be exceeded. The time,كبسولات,dosage_form
PACKAGING,التغليف,header
"30 capsules in 3 blisters, each blister contains 10 capsules/Carton box.",كبسولات,dosage_form
CYAMOCET (Capsules),كبسولات,dosage_form
HAMAPHARMA/LEAF/CYAMOCET (Capsules)  Size: (210x160 mm),كبسولات,dosage_form
